timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251118T084917.00-0300,-29.216940,-50.896877,0.04,12,787.20,1.00
20251118T084918.00-0300,-29.216941,-50.896877,0.04,12,787.10,1.00
20251118T084919.00-0300,-29.216941,-50.896876,0.06,12,787.00,1.00
20251118T084920.00-0300,-29.216942,-50.896877,0.04,12,787.00,1.00
20251118T084921.00-0300,-29.216942,-50.896877,0.02,12,787.00,1.00
20251118T084922.00-0300,-29.216943,-50.896879,0.04,12,787.10,0.95
20251118T084923.00-0300,-29.216943,-50.896880,0.04,12,787.10,0.95
20251118T084924.00-0300,-29.216943,-50.896881,0.02,12,787.10,0.95
20251118T084925.00-0300,-29.216943,-50.896882,0.06,12,787.10,0.77
20251118T084926.00-0300,-29.216942,-50.896883,0.04,12,787.20,0.77
20251118T084927.00-0300,-29.216942,-50.896883,0.04,12,787.10,0.77
20251118T084928.00-0300,-29.216942,-50.896884,0.00,12,787.10,0.77
20251118T084929.00-0300,-29.216942,-50.896884,0.02,12,787.10,0.77
20251118T084930.00-0300,-29.216942,-50.896884,0.11,12,787.20,0.77
20251118T084931.00-0300,-29.216942,-50.896883,0.04,12,787.20,0.77
20251118T084932.00-0300,-29.216942,-50.896883,0.02,12,787.20,0.77
20251118T084933.00-0300,-29.216942,-50.896883,0.07,12,787.20,0.77
20251118T084934.00-0300,-29.216942,-50.896883,0.04,12,787.20,0.77
20251118T084935.00-0300,-29.216941,-50.896883,0.02,12,787.20,0.77
20251118T084936.00-0300,-29.216941,-50.896883,0.04,12,787.20,0.77
20251118T084937.00-0300,-29.216941,-50.896883,0.02,12,787.20,0.77
20251118T084938.00-0300,-29.216942,-50.896883,0.02,12,787.30,0.77
20251118T084940.00-0300,-29.216942,-50.896883,0.02,12,787.30,0.77
20251118T084941.00-0300,-29.216942,-50.896883,0.02,12,787.30,0.77
20251118T084942.00-0300,-29.216942,-50.896883,0.06,12,787.30,0.77
20251118T084943.00-0300,-29.216942,-50.896883,0.02,12,787.30,0.75
20251118T084944.00-0300,-29.216942,-50.896882,0.07,12,787.30,0.75
20251118T084945.00-0300,-29.216942,-50.896882,0.04,12,787.30,0.75
20251118T084946.00-0300,-29.216942,-50.896881,0.04,12,787.40,0.75
20251118T084947.00-0300,-29.216942,-50.896881,0.02,12,787.40,0.75
20251118T084948.00-0300,-29.216942,-50.896881,0.00,12,787.40,0.75
20251118T084949.00-0300,-29.216942,-50.896880,0.02,12,787.50,0.75
20251118T084950.00-0300,-29.216942,-50.896880,0.00,12,787.50,0.75
20251118T084951.00-0300,-29.216942,-50.896880,0.02,12,787.60,0.75
20251118T084952.00-0300,-29.216943,-50.896880,0.02,12,787.70,0.75
20251118T084953.00-0300,-29.216943,-50.896880,0.11,12,787.70,0.75
20251118T084954.00-0300,-29.216944,-50.896878,0.04,12,787.80,0.75
20251118T084955.00-0300,-29.216944,-50.896878,0.04,12,787.80,0.75
20251118T084956.00-0300,-29.216945,-50.896877,0.02,12,787.80,0.75
20251118T084957.00-0300,-29.216945,-50.896877,0.02,12,787.70,0.75
20251118T084958.00-0300,-29.216946,-50.896876,0.02,12,787.60,0.75
20251118T084959.00-0300,-29.216946,-50.896876,0.00,12,787.60,0.75
20251118T085000.00-0300,-29.216946,-50.896876,0.04,12,787.60,0.75
20251118T085001.00-0300,-29.216946,-50.896875,0.02,12,787.50,0.75
20251118T085002.00-0300,-29.216945,-50.896875,0.02,12,787.40,0.75
20251118T085003.00-0300,-29.216945,-50.896875,0.11,12,787.30,0.75
20251118T085004.00-0300,-29.216946,-50.896874,0.09,12,787.40,0.75
20251118T085005.00-0300,-29.216946,-50.896874,0.06,12,787.40,0.75
20251118T085006.00-0300,-29.216945,-50.896874,0.04,12,787.40,0.75
20251118T085007.00-0300,-29.216945,-50.896874,0.04,12,787.40,0.75
20251118T085008.00-0300,-29.216945,-50.896873,0.06,12,787.50,0.75
20251118T085009.00-0300,-29.216945,-50.896873,0.02,12,787.60,0.75
20251118T085010.00-0300,-29.216946,-50.896873,0.07,12,787.60,0.75
20251118T085011.00-0300,-29.216946,-50.896873,0.02,12,787.70,0.75
20251118T085012.00-0300,-29.216945,-50.896873,0.02,12,787.50,0.75
20251118T085013.00-0300,-29.216945,-50.896872,0.09,12,787.40,0.75
20251118T085014.00-0300,-29.216944,-50.896873,0.07,12,787.40,0.75
20251118T085016.00-0300,-29.216943,-50.896873,0.02,12,787.30,0.75
20251118T085017.00-0300,-29.216943,-50.896873,0.02,12,787.30,0.75
20251118T085018.00-0300,-29.216942,-50.896873,0.00,12,787.40,0.75
20251118T085019.00-0300,-29.216942,-50.896873,0.00,12,787.40,0.75
20251118T085020.00-0300,-29.216942,-50.896872,0.00,12,787.40,0.75
20251118T085021.00-0300,-29.216941,-50.896873,0.00,12,787.30,0.75
20251118T085022.00-0300,-29.216941,-50.896872,0.02,12,787.20,0.75
20251118T085023.00-0300,-29.216940,-50.896872,0.17,12,787.20,0.75
20251118T085024.00-0300,-29.216939,-50.896872,0.11,12,787.10,0.75
20251118T085025.00-0300,-29.216938,-50.896872,0.00,12,787.00,0.75
20251118T085026.00-0300,-29.216937,-50.896871,0.04,12,787.00,0.75
20251118T085027.00-0300,-29.216937,-50.896871,0.00,12,786.90,0.75
20251118T085028.00-0300,-29.216937,-50.896870,0.02,12,786.90,0.75
20251118T085029.00-0300,-29.216937,-50.896870,0.04,12,786.90,0.75
20251118T085030.00-0300,-29.216937,-50.896870,0.04,12,786.90,0.75
20251118T085031.00-0300,-29.216937,-50.896869,0.02,12,787.00,0.75
20251118T085032.00-0300,-29.216938,-50.896869,0.06,12,787.10,0.75
20251118T085033.00-0300,-29.216938,-50.896869,0.06,12,787.10,0.75
20251118T085034.00-0300,-29.216938,-50.896868,0.04,12,787.00,0.75
20251118T085035.00-0300,-29.216937,-50.896868,0.02,12,787.00,0.75
20251118T085036.00-0300,-29.216937,-50.896868,0.02,12,787.00,0.75
20251118T085037.00-0300,-29.216937,-50.896868,0.00,12,787.10,0.75
20251118T085038.00-0300,-29.216937,-50.896868,0.02,12,787.10,0.75
20251118T085039.00-0300,-29.216937,-50.896868,0.02,12,787.10,0.75
20251118T085040.00-0300,-29.216937,-50.896868,0.00,12,787.10,0.75
20251118T085041.00-0300,-29.216936,-50.896867,0.09,12,787.00,0.75
20251118T085043.00-0300,-29.216936,-50.896867,0.07,12,787.00,0.75
20251118T085044.00-0300,-29.216936,-50.896867,0.07,12,787.00,0.75
20251118T085045.00-0300,-29.216935,-50.896866,0.02,12,787.10,0.75
20251118T085046.00-0300,-29.216934,-50.896866,0.00,12,787.10,0.75
20251118T085047.00-0300,-29.216934,-50.896866,0.00,12,787.10,0.75
20251118T085048.00-0300,-29.216934,-50.896866,0.06,12,787.10,0.75
20251118T085049.00-0300,-29.216934,-50.896866,0.09,12,787.20,0.75
20251118T085050.00-0300,-29.216934,-50.896866,0.02,12,787.30,0.75
