timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T084233.00-0300,-29.206726,-50.896565,0.02,6,816.00,1.14
20251030T084234.00-0300,-29.206727,-50.896562,0.04,6,816.20,1.14
20251030T084235.00-0300,-29.206728,-50.896561,0.13,6,816.40,1.14
20251030T084236.00-0300,-29.206728,-50.896560,0.13,6,816.50,1.14
20251030T084237.00-0300,-29.206730,-50.896558,0.13,6,816.70,1.14
20251030T084238.00-0300,-29.206731,-50.896556,0.28,7,816.70,1.10
20251030T084239.00-0300,-29.206731,-50.896554,0.07,7,816.80,1.10
20251030T084240.00-0300,-29.206733,-50.896551,0.09,7,816.90,1.10
20251030T084241.00-0300,-29.206734,-50.896548,0.07,7,817.00,1.10
20251030T084242.00-0300,-29.206735,-50.896545,0.19,7,817.10,1.10
20251030T084243.00-0300,-29.206737,-50.896542,0.11,7,817.20,1.10
20251030T084244.00-0300,-29.206737,-50.896541,0.11,7,817.20,1.23
20251030T084245.00-0300,-29.206738,-50.896540,0.09,7,817.20,1.10
20251030T084246.00-0300,-29.206737,-50.896539,0.35,7,817.30,1.10
20251030T084247.00-0300,-29.206738,-50.896535,0.06,7,817.30,1.10
20251030T084248.00-0300,-29.206738,-50.896534,0.06,7,817.30,1.23
20251030T084249.00-0300,-29.206738,-50.896533,0.15,7,817.60,1.10
20251030T084250.00-0300,-29.206738,-50.896530,0.06,7,817.80,1.10
20251030T084251.00-0300,-29.206738,-50.896528,0.06,7,818.20,1.10
20251030T084252.00-0300,-29.206738,-50.896528,0.19,7,818.20,1.23
20251030T084253.00-0300,-29.206739,-50.896527,0.24,7,818.50,1.10
20251030T084254.00-0300,-29.206739,-50.896525,0.07,7,818.70,1.10
20251030T084255.00-0300,-29.206739,-50.896523,0.07,7,818.90,1.10
20251030T084256.00-0300,-29.206738,-50.896523,0.06,7,819.00,1.23
20251030T084257.00-0300,-29.206738,-50.896519,0.54,7,819.10,1.10
20251030T084258.00-0300,-29.206736,-50.896518,0.37,7,819.20,1.10
20251030T084259.00-0300,-29.206735,-50.896513,0.67,7,819.50,1.10
20251030T084300.00-0300,-29.206733,-50.896513,0.35,7,819.40,1.23
20251030T084301.00-0300,-29.206731,-50.896512,0.52,6,819.60,1.14
20251030T084302.00-0300,-29.206729,-50.896511,0.13,6,819.80,1.14
20251030T084303.00-0300,-29.206727,-50.896509,1.06,6,820.10,1.14
20251030T084304.00-0300,-29.206724,-50.896512,0.52,6,820.10,1.28
20251030T084306.00-0300,-29.206719,-50.896509,0.56,7,820.40,1.09
20251030T084307.00-0300,-29.206717,-50.896504,0.70,7,820.90,1.09
20251030T084308.00-0300,-29.206715,-50.896502,0.48,7,821.50,1.09
20251030T084309.00-0300,-29.206713,-50.896501,0.28,7,822.00,1.09
20251030T084310.00-0300,-29.206709,-50.896501,0.31,7,823.10,1.09
20251030T084311.00-0300,-29.206706,-50.896501,0.44,7,823.40,1.09
20251030T084311.00-0300,-29.206703,-50.896502,0.30,7,823.90,1.09
20251030T084312.00-0300,-29.206700,-50.896502,0.65,7,824.30,1.09
20251030T084313.00-0300,-29.206698,-50.896503,0.28,7,824.70,1.09
20251030T084314.00-0300,-29.206695,-50.896506,0.28,7,825.00,1.09
20251030T084315.00-0300,-29.206692,-50.896509,0.46,7,825.30,1.09
20251030T084316.00-0300,-29.206689,-50.896512,0.61,7,825.50,1.09
20251030T084317.00-0300,-29.206687,-50.896516,0.24,7,825.80,1.09
20251030T084318.00-0300,-29.206685,-50.896519,0.15,7,826.00,1.09
20251030T084319.00-0300,-29.206682,-50.896523,0.37,7,826.20,1.09
20251030T084320.00-0300,-29.206679,-50.896528,0.39,7,826.60,1.09
20251030T084321.00-0300,-29.206676,-50.896533,0.52,7,826.90,1.09
20251030T084322.00-0300,-29.206672,-50.896539,0.61,7,827.40,1.09
20251030T084323.00-0300,-29.206669,-50.896543,0.35,7,827.90,1.09
20251030T084324.00-0300,-29.206667,-50.896546,0.35,7,828.20,1.09
20251030T084325.00-0300,-29.206665,-50.896549,0.24,7,828.50,1.09
20251030T084326.00-0300,-29.206661,-50.896554,0.81,7,829.10,1.09
20251030T084327.00-0300,-29.206658,-50.896557,0.59,7,829.30,1.09
20251030T084328.00-0300,-29.206656,-50.896561,0.70,7,829.40,1.09
20251030T084329.00-0300,-29.206656,-50.896563,0.50,7,829.40,1.09
20251030T084330.00-0300,-29.206657,-50.896564,0.35,7,829.30,1.09
20251030T084331.00-0300,-29.206659,-50.896564,0.02,7,829.20,1.09
20251030T084332.00-0300,-29.206658,-50.896565,0.46,7,829.20,1.09
20251030T084333.00-0300,-29.206659,-50.896565,0.41,7,829.20,1.09
20251030T084334.00-0300,-29.206656,-50.896567,0.74,7,829.60,1.09
20251030T084335.00-0300,-29.206655,-50.896568,0.78,7,829.80,1.09
20251030T084336.00-0300,-29.206653,-50.896571,0.69,7,830.20,1.09
20251030T084337.00-0300,-29.206649,-50.896573,0.43,7,830.70,1.09
20251030T084338.00-0300,-29.206645,-50.896571,0.35,7,831.20,1.09
20251030T084339.00-0300,-29.206645,-50.896571,0.17,7,831.10,1.09
20251030T084340.00-0300,-29.206645,-50.896572,0.37,7,831.40,1.09
20251030T084341.00-0300,-29.206649,-50.896574,1.13,7,831.30,1.09
20251030T084342.00-0300,-29.206650,-50.896575,0.57,6,831.40,1.21
20251030T084343.00-0300,-29.206652,-50.896575,0.52,7,831.30,1.09
20251030T084344.00-0300,-29.206652,-50.896574,0.13,7,831.00,1.09
20251030T084345.00-0300,-29.206652,-50.896574,0.78,7,830.50,1.09
